word,markdown,list
why,"_wh,_y",List_A
been,"b,_ee^^,n",List_A
tap,"t,a,p",List_A
got,"g,o,t",List_A
cost,"c,o,s,t",List_A
tape,"t,_a,_p,__e1",List_A
down,"d,_ow,n",List_A
bath,"b,a,_th",List_A
are,"_ar,__e6",List_A
glad,"g,l,a,d",List_A
cut,"c,u,t",List_A
before,"b,_e,*,f,_o,_f,__e1",List_A
shut,"_sh,u,t",List_A
cute,"c,_u,_t,__e1",List_A
inside,"i,n,*,s,_i,_d,__e1",List_A
after,"a,f,*,t,__er",List_A
home,"h,_o,_m,__e1",List_A
car,"c,_ar",List_A
cry,"c,r,_y",List_A
side,"s,_i,_d,__e1",List_A
have,"h,a,_v,__e2",List_A
away,"_a^^,*,w,_ay",List_A
play,"p,l,_ay",List_A
outside,"_ou,t,*,s,_i,_d,__e1",List_A
any,"a^^,n,*,y^3",List_A
landed,"l,a,n,d,*,_ed",List_A
back,"b,a,_ck",List_A
our,"_ou,r",List_A
bike,"b,_i,_k,__e1",List_A
stop,"s,t,o,p",List_A
lifted,"l,i,f,t,*,_ed/",List_A
many,"m,a^^,n,*,y^3",List_A
stopped,,List_A
brother,"b,r,o^^,_th^2,*,_er",List_A
wished,"w,i,_sh,_ed^3",List_A
mail,"m,_ai,l",List_A
other,"o^^,_th^2,*,_er",List_A
child,"_ch,_i,l,d",List_A
next,"n,e,x,t",List_A
most,"m,_o,s,t",List_A
raked,"r,_a,_k,__ed^3",List_A
another,"a,n,*,o^^,_th^2,_er",List_A
land,"l,a,n,d",List_A
lift,"l,i,f,t",List_A
check,"_ch,e,_ck",List_A
mother,"m,o^^,_th^2,*,_er",List_A
air,"_ai,r",List_A
rake,"r,_a,_k,__e1",List_A
wish,"w,i,_sh",List_A
ask,"a,s,k",List_A
September,"s,e,p,*,t,e,m,*,b,_er",List_A
want,"w,a^3,n,t",List_B
kind,"k,_i,n,d",List_B
you,"y,_ou^3",List_B
your,"y,_ou^^,r or y,_ou^3,r",List_B
both,"b,_o,_th",List_B
catch,"c,a,_tch",List_B
catching,"c,a,_tch,*,i,_ng",List_B
ball,"b,a^3,ll",List_B
throw,"_th,r,_ow^2",List_B
thorwing,"_th,r,_ow^2,*,i,_ng",List_B
practice,"p,r,a,c,*,t,i,_c,__e3",List_B
mouse,"m,_ou,_s,__e5",List_B
mice,"m,_i,_c,__e1",List_B
cheese,"_ch,_ee,_s^2,__e5",List_B
trap,"t,r,a,p",List_B
tail,"t,_ai,l",List_B
call,"c,a^3,l,l",List_B
again,"_a^^,*,g,_ai^^,n",List_B
song,"s,o,_ng",List_B
sing,"s,i,_ng",List_B
sang,"s,a,_ng",List_B
sung,"s,u,_ng",List_B
held,"h,e,l,d",List_B
ever,"e,v,*,_er",List_B
dinner,"d,i,__n,*,n,_er",List_B
apple,"a,__p,*,p,l,__e4",List_B
lunch,"l,u,n,_ch",List_B
sunday,"s,u,n,*,d,_ay",List_B
eat,"_ea,t",List_B
ate,"_a,_t,__e1",List_B
monday,"m,o^^,n,*,d,_ay",List_B
each,"_ea,_ch",List_B
week,"w,_ee,k",List_B
little,"l,i,__t,*,t,l,__e4",List_B
cold,"c,_o,l,d",List_B
late,"l,_a,_t,__e1",List_B
tuesday,"t,_u^3,*,d,_ay",List_B
work,"w,_or,k",List_B
start,"s,t,_ar,t",List_B
without,"w,i,_th,*,_ou,t",List_B
visit,"v,i,s^2,•,i,t",List_B
trip,"t,r,i,p",List_B
wednesday,"w,e,__d,*,n,__e,s^2,*,d,_ay",List_B
first,"f,_ir,s,t",List_B
nurse,"n,_ur,_s,__e5",List_B
sick,"s,i,_cik",List_B
october,"o,c,*,t,_o,*,b,_er",List_B
thursday,"_th,,ur,s2,*,d,_ay",List_C
walk,"w,a^3,__l,k",List_C
talk,"t,a^3,__l,k",List_C
yesterday,"y,e,s,*,t,_er,*,d,_ay",List_C
best,"b,e,s,t",List_C
take,"t,_a,_k,__e1",List_C
give,"g,i,_v,__e2",List_C
friday,"f,r,_i,*,d,_ay",List_C
saturday,"s,a,t,*,_ur,*,d,_ay",List_C
also,"a^3,0,*,s,_o",List_C
pack,"p,a,_ck",List_C
hard,"h,_ar,d",List_C
name,"n,_a,_m,__e1",List_C
cake,"c,_a,_k,__e1",List_C
die,"d,_ie^2",List_C
died,"d,_i,_ed^2",List_C
bad,"b,a,d",List_C
good,"g,_oo^2,d",List_C
more,"m,_o,_r,__e1",List_C
less,"l,e,s,s",List_C
baby,"b,_a,*,b,y^3",List_C
babies,"b,_a,*,b,i^3,__e,s^2",List_C
what,"_wh,a,t",List_C
when,"_wh,e,n",List_C
where,"_wh,e,r,__e6",List_C
which,"_wh,i,_ch",List_C
why,"_wh,_y",List_C
who,"_wh^^,o^3",List_C
whom,"_wh^^,o^3,m",List_C
whose,"_wh^^,o^3,_s^2,__e5",List_C
rain,"r,_ai,n",List_C
light,"l,_igh,t",List_C
were,"w,_er,__e6",List_C
begin,"b,_e,*,g,i,n",List_C
began,"b_e,*,g,a,n",List_C
evening,"_e,_v,__e1,*,n,i,_ng",List_C
morning,"m,_or,n,*,i,_ng",List_C
night,"n,_igh,t",List_C
moon,"m,_oo,n",List_C
seven,"s,e,v,*,e,n",List_C
snow,"s,n,_ow^2",List_C
storm,"s,t,_or,m",List_C
stormy,"s,t,_or,m,*,y^3",List_C
cloud,"c,l,_ou,d",List_C
noon,"n,_oo,n",List_C
afternoon,"a,f,*,t,_er,*,n,_oo,n",List_C
flower,"f,l,_ow,*,_er",List_D
yard,"y,_ar,d",List_D
grass,"g,r,a,s,s",List_D
spider,"s,p,_i,*,d,_er",List_D
cricket,"c,r,i,_ck,*,e^^,t",List_D
bird,"b,_ir,d",List_D
nest,"n,e,s,t",List_D
tree,"t,r,_ee",List_D
fox,"f,o,x",List_D
foxes,"f,o,x,*,e,s^2",List_D
insect,"i,n,*,s,e,c,t",List_D
insects,"i,n,*,s,e,c,t,s",List_D
deer,"d,_ee,r",List_D
fawn,"f,_aw,n",List_D
snake,"s,n,_a,_k,__e1",List_D
rat,"r,a,t",List_D
skunk,"s,k,u,n^^,k",List_D
pond,"p,o,n,k",List_D
river,"r,i,v,_er",List_D
lake,"l,_a,_k,__e1",List_D
frog,"f,r,o,g",List_D
toad,"t,_oa,d",List_D
floor,"f,l,_oo^^,r",List_D
house,"h,_ou,_s,__e5",List_D
chair,"_ch,_ai,r",List_D
room,"r,_oo,m",List_D
stairs,"s,t,_ai,s^2",List_D
fruit,"f,r,_ui,t",List_D
juice,"j,_ui,_c,__e3",List_D
snack,"s,n,a,_ck",List_D
food,"f,_oo,d",List_D
pour,"p,_ou^2,r",List_D
upstairs,"u,p,*,s,t,_ai,r,s^2",List_D
cook,"c,_oo^2,k",List_D
stove,"s,t,_o,_v,__e1",List_D
fry,"f,r,_y",List_D
bake,"b,_a,_k,__e1",List_D
baking,"b,_a,_k,*,i,_ng",List_D
